"","year","location","replicate","treat_plot","quad","Juncus.acutiflorus","Juncus.effusus","Juncus.articulatus","Juncus.conglomeratus","Juncus.squarrosus","Holcus.lanatus","Cynosurus.cristatus","Poa.trivialis","Anthoxanthum.odoratum","Festuca.rubra","Agrostis.capillaris","Lolium.perenne","Phleum.pratense","Agrostis.stolonifera","Poa.pratensis","Agrostis.canina","Festuca.pratensis","Alopecurus..pratensis","Alopecurus.geniculatus","Trisetum.flavescens","Deschampsia.cespitosa","Carex.nigra","Carex.panicea","Carex.ovalis","Carex.leporina","Luzula.campestris","Equisetum.arvense","Equisetum.palustre","Ranunculus.repens","Caltha.palustris","Trifolium.repens","Ranunculus.acris","Rumex.acetosa","Euphrasia.arctica.s.l.","Prunella.vulgaris","Trifolium.pratense","Myosotis.scorpioides","Bellis.perennis","Montia.fontana","Cerastium.fontanum","Cardamine.pratensis","Leontodon.autumnalis","Ranunculus.flammula","Myosotis.discolor","Plantago.lanceolata","Rhinanthus.minor","Taraxacum.agg.","Ajuga.reptans","Lychnis.flos.cuculi","Galium.palustre","Sagina.procumbens","Stellaria.uliginosa","Galium.uliginosum","Stellaria.alsine","Trollius.europaeus","Achillea.ptarmica","Sagina.apetala","Alchemilla.glabra","Centaurea.nigra","Veronica.serpyllifolia","Leontodon.hispidus","Rumex.obtusifolius","Leucanthemum.vulgare","Lysimachia.nemorum","Succisa.pratensis","Plagiomnium.undulatum","Rhytidiadelphus.squarrosus","Brachythecium.rutabulum","Kindbergia.praelonga","Calliergonella.cuspidata","Calliergonella.cuspidata.1","Calliergonella.cuspidata.2","Calliergonella.cuspidata.3","Atrichum.undulatum","Rhytidiadelphus.squarrosus.1","Juncus.bulbosus","Carex.flacca","Carex.hostiana","Carex.echinata","Carex.pulicaris","Carex.viridula","Carex.pilulifera","Eriophorum.vaginatum","Trichophorum.cespitosum","Luzula.multiflora","Nardus.stricta","Molinia.caerulea","Holcus.mollis","Dactylis.glomerata","Festuca.ovina","Deschampsia.flexuosa","Briza.media","Potentilla.erecta.erecta","Viola.palustris","Cirsium.palustre","Ranunculus..repens","Epilobium.palustre","Galium.saxatile","Cirsium.vulgaris","Narthecium.ossifragum","Cirsium.arvense","Lathyrus.pratensis","Lathyrus.pratensis.1","Cardamine.flexuosa","Pedicularis.sylvatica","Trifolium.dubium","Achillea.millefolium","Hypochaeris.radicata","Stellaria.graminea","Orchid.spp","Pedicularis.palustris","Vicia.sepium","Linum.catharticum","Valeriana.dioica","Sphagnum.sp.","Climacium.dendroides","Sphagnum.palustre","Polytrichum.commune","Pseudoscleropodium.purum","Sphagnum.capillifolium","Sphagnum.squarrosum","Pleurozium.schreberi","Hylocomium.splendens","Polytrichum.formosum","Alchemilla..xanthochlora","Anthoxanthum.odorat","Anthriscus.sylvestris","Arrhenatherum.elatius","Bromus.hordaceus.hor","Cerastium..glomeratum","Conopodium.majus","Cruciata.laevipes","Filipendula.ulmaria","Geranium.sylvaticum","Helictotrichon.pubescen","Heracleum.sphondylium","Lotus.corniculatus","Ranunculus.bulbosus","Ranuunculus..repens","Rhytidiadelphus.squaros","Sanguisorba.officinalis","Senecio.jacobea","Stellaria.media","Urtica.dioica","Veronica.chamaedrys","Calliergon.cuspidatum","Carex.hostiana.1","Carex.pilulifera.1","Dactylorhiza.purpurella","Juncus.compactus","Lychnis.flos.cuculi.","lysimachia.nemorum","Poa.annua","Senecio.vulgaris","Sphagnum_squarrosum","Veronica.serpyllifolia.1","Festuca.x.Lolium","Lychnis.hosieomi","Ranunculus.lingua","Stellaria.liginosum","Epilobium.tetragonum","Avenula.pratense","Carex.viridula.1","Geum.rivale","Hylocumium.splendens","Lysimachia.nemorum.1","Polytrichum.formosa","Valerian.dioica","Alopecurus.pratensis","Cerastium.glomeratum","Crepis.paludosa","Potentilla.erecta","Trichophorum.germanicum","Luzula.sp.","Pedicularis.sp..not.flowering.","Carex.sp..echinata..","Poa.sp","Myosotis.secunda","Glyceria.declinata","Bryophyte","Viola.riviniana","Luzula.sp","Veronica.serpylifolia"
"LM.2.A.59.2017","2017","LM","A","2","59",16,NA,7,NA,NA,18,2,1,11,10,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,9,1,5,11,6,7,NA,NA,6,1,NA,1,NA,2,NA,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LM.2.A.53.2017","2017","LM","A","2","53",30,NA,NA,NA,NA,2,2,1,6,10,1,1,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,18,20,10,4,1,1,6,5,1,NA,1,1,3,NA,NA,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LM.2.A.6.2017","2017","LM","A","2","6",20,NA,NA,NA,NA,2,3,9,11,10,8,6,9,NA,7,NA,1,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,9,20,19,6,1,NA,1,NA,8,1,1,1,1,2,NA,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LM.3.A.88.2017","2017","LM","A","3","88",20,NA,NA,NA,NA,15,2,NA,2,10,1,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,2,11,6,1,1,5,3,1,NA,NA,NA,3,NA,NA,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LM.3.A.3.2017","2017","LM","A","3","3",34,NA,NA,NA,NA,18,16,9,11,10,8,7,2,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,14,23,17,1,4,NA,5,2,5,1,1,1,NA,2,NA,1,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LM.3.A.73.2017","2017","LM","A","3","73",12,NA,NA,NA,NA,4,14,9,11,10,NA,6,NA,NA,7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,9,15,11,9,8,1,NA,6,3,1,NA,1,1,2,NA,NA,1,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LM.4.A.19.2017","2017","LM","A","4","19",3,NA,NA,NA,NA,18,2,1,11,10,NA,6,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,20,5,6,6,1,7,NA,2,NA,NA,1,2,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LM.4.A.2.2017","2017","LM","A","4","2",42,NA,NA,NA,NA,2,2,NA,2,10,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,20,10,17,2,6,5,1,1,3,NA,NA,1,1,3,NA,NA,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LM.4.A.38.2017","2017","LM","A","4","38",12,NA,NA,NA,NA,15,14,9,11,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,2,9,11,6,NA,NA,2,7,NA,1,NA,4,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LM.5.A.10.2017","2017","LM","A","5","10",12,NA,NA,NA,NA,2,4,1,11,4,1,6,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,22,2,6,4,1,NA,5,5,NA,NA,1,1,2,NA,NA,NA,8,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LM.5.A.80.2017","2017","LM","A","5","80",12,NA,NA,NA,NA,15,2,1,11,10,8,1,9,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,2,11,10,6,NA,1,9,1,1,1,1,1,3,NA,NA,1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LM.5.A.29.2017","2017","LM","A","5","29",7,NA,NA,NA,NA,4,4,9,11,10,8,6,9,NA,NA,NA,NA,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,11,22,18,10,4,5,5,6,3,1,1,1,2,4,NA,1,1,8,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LM.6.A.86.2017","2017","LM","A","6","86",NA,NA,NA,NA,NA,2,14,1,1,10,8,2,9,NA,NA,NA,6,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,17,2,3,11,4,5,NA,1,3,NA,NA,1,1,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LM.6.A.47.2017","2017","LM","A","6","47",3,NA,NA,NA,NA,17,2,1,2,10,8,8,9,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,11,20,9,9,4,1,5,9,3,1,NA,1,NA,3,NA,1,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LM.6.A.48.2017","2017","LM","A","6","48",5,NA,NA,NA,NA,2,4,1,13,2,8,6,9,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,13,1,2,6,6,1,5,6,5,NA,1,1,1,1,NA,1,NA,13,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LM.7.A.24.2017","2017","LM","A","7","24",13,NA,NA,NA,NA,2,2,NA,11,10,8,1,5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,11,18,2,14,4,1,NA,5,3,1,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LM.7.A.33.2017","2017","LM","A","7","33",23,NA,NA,NA,NA,15,4,1,6,2,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,19,15,20,4,1,NA,NA,6,1,1,NA,1,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LM.7.A.17.2017","2017","LM","A","7","17",11,NA,NA,NA,NA,2,7,9,11,10,9,6,9,NA,7,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,20,21,17,6,4,1,5,6,3,NA,1,1,1,1,NA,1,1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LM.8.A.91.2017","2017","LM","A","8","91",NA,NA,NA,NA,NA,15,4,1,11,10,8,2,9,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,2,2,11,13,4,1,NA,9,3,1,NA,1,1,3,NA,1,1,4,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LM.8.A.45.2017","2017","LM","A","8","45",NA,NA,NA,NA,NA,15,15,9,14,10,8,8,11,NA,NA,NA,6,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,21,20,2,NA,4,5,5,NA,3,NA,1,1,NA,2,NA,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LM.8.A.66.2017","2017","LM","A","8","66",NA,NA,NA,NA,NA,15,2,1,11,10,9,2,9,NA,NA,NA,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,17,21,6,6,4,5,NA,5,3,1,NA,NA,1,1,NA,1,1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
